ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
4283,Uttar Pradesh,Noida,Sector 18,House,2,823,63.97,7773.06,1997,Unfurnished,14,26,27,0,0,1,2,Gated Community,"Playground, Gym",South-West,Agent,Under Construction
4284,Punjab,Chandigarh,Mohali,Villa,4,1691,91.08,5386.01,2006,Unfurnished,7,26,18,7,1,2,1,Security Guard,"Gym, Clubhouse, Playground",North,Agent,Available
4285,West Bengal,Kolkata,Salt Lake,Apartment,3,1513,86.85,5740.19,2002,Unfurnished,6,12,22,0,7,6,1,CCTV,"Playground, Garden, Swimming Pool",South,Builder,Available
4286,Telangana,Hyderabad,Madhapur,Apartment,2,791,48.76,6163.8,2007,Unfurnished,13,25,17,2,3,9,3,Gated Community,"Swimming Pool, Garden, Gym, Clubhouse",East,Builder,Available
4287,Haryana,Gurgaon,Golf Course Road,Apartment,3,1069,82.39,7706.74,2010,Fully Furnished,3,9,14,9,4,8,1,Gated Community,"Swimming Pool, Gym, Library, Garden",South,Individual,Available
4288,Rajasthan,Jaipur,Jagatpura,Apartment,2,880,30.23,3435.49,2001,Unfurnished,0,3,23,3,0,7,3,CCTV,"Garden, Playground, Swimming Pool, Library",West,Agent,Available
4289,Maharashtra,Pune,Wakad,Apartment,5,2125,192.84,9075.0,1991,Unfurnished,12,25,33,8,0,7,2,CCTV,"Playground, Library",North-East,Individual,Sold
4290,Uttar Pradesh,Noida,Sector 78,Apartment,5,2140,134.75,6296.92,2009,Semi Furnished,25,26,15,7,,1,0,CCTV,"Clubhouse, Playground",South,Agent,Available
4291,Haryana,Gurgaon,Golf Course Road,House,3,1371,146.86,10711.55,2012,Semi Furnished,10,24,12,4,3,5,0,CCTV,None,East,Agent,Available
4292,Gujarat,Ahmedabad,Thaltej,Villa,1,549,22.74,4142.97,2010,Fully Furnished,5,9,14,3,1,4,2,Security Guard,"Garden, Gym, Swimming Pool, Library",North-East,Individual,Available
4293,Haryana,Gurgaon,Sohna Road,Apartment,2,878,68.07,7752.8,2020,Unfurnished,0,2,4,9,6,5,2,Gated Community,"Garden, Playground",West,Individual,Available
4294,Tamil Nadu,Chennai,Anna Nagar,Apartment,3,1295,70.1,5413.07,2005,Semi Furnished,22,37,19,8,2,6,2,Gated Community,"Gym, Clubhouse, Garden, Swimming Pool, Playground, Library",North-East,Agent,Under Construction
4295,Kerala,Kochi,Vyttila,House,4,1661,82.08,4941.49,2002,Fully Furnished,2,18,22,0,7,6,2,Gated Community,"Library, Clubhouse",South-East,Builder,Available
4296,Maharashtra,Nagpur,Manish Nagar,Apartment,2,561,25.19,4489.49,1993,Semi Furnished,6,11,31,5,0,5,3,Security Guard,None,West,Agent,Available
4297,Tamil Nadu,Chennai,Velachery,Apartment,1,300,15.27,5088.58,1991,Unfurnished,5,7,33,7,2,3,1,CCTV,"Swimming Pool, Clubhouse, Gym, Library, Garden, Playground",West,Builder,Under Construction
4298,Delhi,Delhi,Vasant Kunj,Villa,1,300,19.7,6567.04,1990,Unfurnished,,14,34,6,4,3,1,CCTV,"Clubhouse, Swimming Pool, Garden, Library, Playground",North,Agent,Available
4299,Madhya Pradesh,Indore,Vijay Nagar,Villa,3,1322,45.59,3448.76,2015,Semi Furnished,14,33,9,,3,8,1,CCTV,"Clubhouse, Swimming Pool, Playground, Gym, Garden",North,Agent,Available
4300,Madhya Pradesh,Indore,AB Road,Apartment,4,1534,45.25,2949.53,2019,Unfurnished,4,4,5,2,,8,1,Security Guard,"Gym, Playground",South,Builder,Sold
4301,Karnataka,Mysore,Nazarbad,House,1,420,17.76,4228.65,2009,Unfurnished,11,26,15,4,5,8,0,CCTV,"Swimming Pool, Library, Clubhouse, Garden",South,Agent,Sold
4302,Haryana,Gurgaon,Sector 49,Villa,2,1034,99.86,9657.84,2014,Fully Furnished,22,39,10,0,1,7,3,CCTV,"Gym, Clubhouse, Playground",North-West,Agent,Under Construction
4303,Maharashtra,Pune,Hinjewadi,Studio,3,1362,107.94,7924.89,2008,Semi Furnished,4,20,16,7,0,5,3,Gated Community,"Playground, Garden",South-West,Agent,Available
4304,West Bengal,Kolkata,Salt Lake,Apartment,4,1274,66.88,5249.47,2016,Semi Furnished,9,13,8,1,2,6,1,None,"Library, Swimming Pool, Garden",South,Agent,Under Construction
4305,Rajasthan,Jaipur,C-Scheme,House,3,1309,49.78,3802.93,1999,Semi Furnished,1,13,25,9,1,6,3,None,"Swimming Pool, Clubhouse",South-West,Individual,Available
4306,Karnataka,Mysore,Hebbal,Apartment,3,1208,55.53,4596.59,2006,Unfurnished,8,9,18,2,6,9,3,Gated Community,"Gym, Clubhouse, Playground, Library, Garden, Swimming Pool",North-West,Agent,Available
4307,Delhi,Delhi,Dwarka,Villa,2,701,57.62,8219.63,1991,Semi Furnished,0,8,33,9,1,5,2,Gated Community,"Swimming Pool, Playground, Gym",South-West,Builder,Available
4308,Uttar Pradesh,Lucknow,Gomti Nagar,Villa,2,750,20.69,2759.23,2006,Unfurnished,9,18,18,1,4,7,2,CCTV,"Swimming Pool, Gym, Garden, Clubhouse, Playground, Library",North-West,Individual,Available
4309,Gujarat,Ahmedabad,Thaltej,Apartment,5,1952,130.86,6703.93,1996,Fully Furnished,5,22,28,0,4,9,2,None,None,,Individual,Available
4310,Karnataka,Bangalore,Whitefield,House,5,1803,150.01,8320.25,2005,Unfurnished,25,42,19,1,0,9,1,Gated Community,"Library, Clubhouse, Playground, Garden, Swimming Pool, Gym",North,Individual,Available
4311,Delhi,Delhi,Rohini,Apartment,3,1236,142.18,11503.64,2016,Fully Furnished,25,43,8,9,5,1,3,CCTV,None,South-East,Agent,Sold
4312,Tamil Nadu,Chennai,Adyar,Apartment,3,1526,71.67,4696.39,1990,Unfurnished,7,19,34,1,2,7,1,Gated Community,"Gym, Garden, Clubhouse",North-West,Individual,Available
4313,Madhya Pradesh,Indore,Rau,Apartment,5,2152,110.65,5141.95,2011,Semi Furnished,24,29,13,5,4,9,2,Gated Community,Playground,North-West,Builder,Available
4314,Punjab,Chandigarh,Mohali,House,2,496,25.76,5192.98,2011,Fully Furnished,22,22,13,3,2,4,3,CCTV,"Swimming Pool, Playground, Garden, Library",,Individual,Under Construction
4315,Uttar Pradesh,Noida,Greater Noida West,Apartment,2,843,47.48,5632.18,2016,Unfurnished,5,22,8,9,6,3,2,Security Guard,"Swimming Pool, Playground",East,Individual,Sold
4316,Telangana,Hyderabad,Madhapur,House,3,1243,119.72,9631.14,2005,Semi Furnished,16,34,19,3,5,1,1,Gated Community,"Garden, Library",North-East,Builder,Available
4317,Karnataka,Mysore,Saraswathipuram,House,5,1850,82.54,4461.66,2005,Unfurnished,25,40,19,0,6,7,0,CCTV,Clubhouse,North-West,Builder,Under Construction
4318,Tamil Nadu,Chennai,Adyar,House,3,1018,70.03,6879.37,2013,Semi Furnished,18,36,11,9,0,8,2,Security Guard,"Clubhouse, Gym, Swimming Pool, Library, Garden",North-East,Agent,Under Construction
4319,Delhi,Delhi,Dwarka,Apartment,3,1334,144.86,10858.81,2022,Unfurnished,15,21,2,1,3,9,1,Gated Community,"Gym, Garden, Clubhouse, Playground, Library",West,Agent,Under Construction
4320,Kerala,Kochi,Marine Drive,Villa,2,815,51.93,6371.67,2006,Unfurnished,12,17,18,2,7,3,2,CCTV,"Clubhouse, Gym, Swimming Pool, Library, Garden",North-West,Agent,Available
4321,Maharashtra,Nagpur,Hingna,Apartment,1,328,11.46,3495.41,1994,Fully Furnished,13,24,30,8,0,3,1,None,None,North,Agent,Available
4322,Tamil Nadu,Chennai,Adyar,House,2,890,47.74,5363.92,2008,Semi Furnished,26,39,16,4,6,1,3,Security Guard,"Library, Playground, Gym",West,Agent,Available
4323,West Bengal,Kolkata,Rajarhat,House,5,2317,145.6,6284.03,2023,Fully Furnished,24,30,1,3,7,5,1,Security Guard,"Gym, Library, Swimming Pool, Clubhouse, Garden, Playground",South-West,Builder,Under Construction
4324,West Bengal,Kolkata,Behala,Apartment,3,1238,77.57,6265.88,2021,Fully Furnished,24,40,3,9,3,8,0,Gated Community,None,South,Agent,Under Construction
4325,Madhya Pradesh,Bhopal,Arera Colony,House,1,443,15.18,3426.21,2014,Unfurnished,18,30,10,2,4,7,3,Gated Community,"Clubhouse, Swimming Pool, Library, Playground, Garden",East,Builder,Available
4326,Karnataka,Bangalore,Whitefield,Apartment,5,1996,164.54,8243.66,2011,Semi Furnished,7,26,13,9,7,7,0,Gated Community,"Clubhouse, Library, Swimming Pool, Playground",South,Individual,Under Construction
4327,Karnataka,Bangalore,Indiranagar,Apartment,3,1141,87.95,7707.76,2016,Semi Furnished,18,22,8,0,1,4,0,None,"Clubhouse, Garden, Swimming Pool, Library, Playground",South-East,Builder,Under Construction
4328,Madhya Pradesh,Bhopal,Arera Colony,Apartment,4,1722,62.78,3645.53,2022,Unfurnished,13,18,2,0,0,1,0,Security Guard,"Gym, Clubhouse",South-East,Individual,Available
4329,Telangana,Hyderabad,Gachibowli,Penthouse,3,1171,81.75,6981.01,1997,Unfurnished,27,39,27,9,2,7,2,Gated Community,"Garden, Swimming Pool, Library, Gym, Playground",East,Agent,Sold
4330,Karnataka,Mysore,Hebbal,House,1,474,20.15,4250.56,2019,,21,30,5,7,7,3,3,CCTV,"Library, Playground, Garden, Swimming Pool, Gym",West,Builder,Available
4331,Delhi,Delhi,Dwarka,House,3,1425,124.03,8703.88,2015,Unfurnished,18,20,9,9,6,5,3,Gated Community,"Gym, Garden, Clubhouse, Swimming Pool, Library, Playground",South,Individual,Under Construction
4332,Maharashtra,Nagpur,Hingna,Studio,5,2111,118.29,5603.66,2004,Semi Furnished,10,12,20,8,2,9,3,Security Guard,"Clubhouse, Library, Gym, Swimming Pool",North,Agent,Available
4333,Maharashtra,Mumbai,Juhu,Apartment,1,300,37.69,12563.35,2001,Fully Furnished,21,28,23,2,6,3,0,Security Guard,"Playground, Garden",South-West,Individual,Under Construction
4334,Kerala,Kochi,Aluva,Studio,4,1400,106.95,7639.2,2001,Unfurnished,19,25,23,8,5,2,0,Security Guard,"Garden, Playground, Gym, Library",East,Builder,Available
4335,West Bengal,Kolkata,Rajarhat,Apartment,2,987,52.51,5319.88,1993,Fully Furnished,14,31,31,7,3,8,3,Gated Community,"Garden, Playground, Clubhouse",North-East,Agent,Under Construction
4336,Rajasthan,Jaipur,C-Scheme,House,2,783,37.24,4755.75,1992,Fully Furnished,15,28,32,0,7,2,3,CCTV,"Swimming Pool, Gym, Clubhouse, Library, Playground",,Builder,Available
4337,Tamil Nadu,Chennai,Velachery,House,2,839,60.09,7162.62,2021,Semi Furnished,12,18,3,5,7,6,2,Security Guard,"Garden, Swimming Pool",East,Agent,Available
4338,Maharashtra,Nagpur,Hingna,Apartment,4,1481,55.46,3744.7,2015,Semi Furnished,10,20,9,8,2,6,0,CCTV,"Playground, Garden",West,Builder,Available
4339,Telangana,Hyderabad,Madhapur,Apartment,3,1292,67.93,5257.41,1993,Unfurnished,10,29,31,3,4,2,3,Security Guard,Playground,North-West,Builder,Available
4340,Gujarat,Ahmedabad,Thaltej,Apartment,2,1083,63.45,5858.84,1990,Semi Furnished,14,23,34,8,7,5,0,CCTV,"Clubhouse, Gym, Garden",East,Agent,Under Construction
4341,Uttar Pradesh,Lucknow,Mahanagar,Penthouse,3,1222,59.45,4865.21,1994,Semi Furnished,5,14,30,1,3,1,2,CCTV,None,South-West,Agent,Sold
4342,Maharashtra,Mumbai,Dadar,Apartment,1,497,73.76,14841.01,1991,Semi Furnished,,24,33,9,1,7,3,Gated Community,None,South-West,Individual,Available
4343,Madhya Pradesh,Indore,AB Road,Apartment,1,586,19.7,3361.52,2000,Fully Furnished,28,43,24,8,0,2,3,Security Guard,None,North-East,Individual,Available
4344,Madhya Pradesh,Bhopal,Arera Colony,House,1,652,14.27,2188.06,1998,Semi Furnished,2,11,26,0,3,9,1,Gated Community,"Gym, Library",West,Individual,Available
4345,Telangana,Hyderabad,Jubilee Hills,Apartment,3,1098,66.84,6087.26,1997,Unfurnished,,34,27,3,6,1,2,CCTV,Library,North-East,Individual,Available
4346,Telangana,Hyderabad,Kukatpally,Apartment,3,1262,74.11,5872.57,2004,Fully Furnished,21,21,20,4,5,4,1,Security Guard,Gym,East,Individual,Available
4347,Tamil Nadu,Chennai,Anna Nagar,Villa,4,1791,135.0,7537.56,1998,Semi Furnished,18,22,26,1,5,6,1,Security Guard,"Garden, Swimming Pool, Playground, Clubhouse, Gym, Library",West,Builder,Available
4348,Punjab,Chandigarh,Sector 34,Apartment,3,1433,85.8,5987.43,2019,Semi Furnished,26,37,5,5,4,3,2,CCTV,"Gym, Swimming Pool",East,Individual,Under Construction
4349,Karnataka,Mysore,Nazarbad,House,2,736,40.6,5516.63,2018,Unfurnished,9,16,6,7,7,6,3,Gated Community,"Swimming Pool, Gym, Library, Clubhouse, Garden",North,Agent,Sold
4350,Punjab,Chandigarh,Sector 34,Apartment,3,1099,38.92,3541.7,2014,Semi Furnished,9,14,10,1,3,4,2,CCTV,"Library, Clubhouse, Playground, Gym",East,Individual,Sold
4351,Maharashtra,Pune,Viman Nagar,Apartment,2,776,56.01,7218.17,2011,Semi Furnished,20,35,13,8,7,2,0,Gated Community,"Garden, Library, Gym, Playground, Swimming Pool, Clubhouse",North,Individual,Available
4352,Rajasthan,Jaipur,Vaishali Nagar,Villa,4,1551,62.84,4051.76,2023,Semi Furnished,5,14,1,1,4,5,3,CCTV,Playground,North-West,Builder,Available
4353,Kerala,Kochi,Marine Drive,Apartment,2,758,41.41,5463.16,2011,Semi Furnished,13,15,13,0,6,8,0,Gated Community,None,South-East,Individual,Under Construction
4354,Punjab,Chandigarh,Mohali,Studio,2,861,52.86,6139.1,2019,Semi Furnished,24,29,5,5,5,2,2,None,"Garden, Playground, Library, Clubhouse",North,Individual,Under Construction
4355,Tamil Nadu,Chennai,Anna Nagar,Studio,3,1118,66.76,5971.79,1999,Semi Furnished,4,5,25,4,7,6,0,CCTV,"Garden, Swimming Pool, Library, Playground, Gym, Clubhouse",North-East,Individual,Under Construction
4356,Uttar Pradesh,Lucknow,Mahanagar,Apartment,1,633,32.58,5146.88,1994,Semi Furnished,3,6,30,9,3,8,0,Security Guard,"Library, Garden, Clubhouse",South,Agent,Sold
4357,Tamil Nadu,Chennai,OMR,Apartment,1,339,17.1,5044.04,1994,Semi Furnished,26,32,30,2,3,6,2,CCTV,"Garden, Swimming Pool, Gym, Playground, Library",East,Individual,Available
4358,Uttar Pradesh,Lucknow,Aliganj,Apartment,3,1109,38.4,3462.85,1991,Semi Furnished,12,23,33,2,6,5,1,CCTV,None,West,Agent,Available
4359,Telangana,Hyderabad,Kukatpally,Apartment,2,624,25.52,4090.06,2019,Unfurnished,2,11,5,7,1,3,1,CCTV,"Playground, Clubhouse, Swimming Pool, Garden, Gym",South-West,Builder,Sold
4360,Uttar Pradesh,Lucknow,Indiranagar,Apartment,1,588,20.47,3481.83,2011,Fully Furnished,12,24,13,3,3,8,1,None,"Clubhouse, Playground, Gym, Library, Swimming Pool, Garden",North-West,Builder,Sold
4361,Maharashtra,Nagpur,Hingna,House,2,605,23.28,3848.66,2002,Semi Furnished,6,24,22,0,4,2,2,Gated Community,"Clubhouse, Swimming Pool",South,Agent,Available
4362,Kerala,Kochi,Edapally,Apartment,3,1268,55.11,4346.32,2014,Fully Furnished,11,18,10,,3,9,1,CCTV,None,North,Individual,Under Construction
4363,Maharashtra,Pune,Baner,Apartment,2,904,54.27,6003.58,2016,Semi Furnished,10,26,8,5,2,8,1,Gated Community,"Playground, Library, Garden, Swimming Pool, Clubhouse, Gym",North,Individual,Sold
4364,Tamil Nadu,Chennai,Porur,Apartment,2,362,23.53,6501.27,2016,Fully Furnished,22,29,8,1,7,6,2,CCTV,Clubhouse,South-West,Builder,Under Construction
4365,Maharashtra,Nagpur,Dharampeth,Apartment,3,1003,32.03,3193.44,2010,Unfurnished,25,42,14,6,1,9,1,CCTV,None,West,Individual,Available
4366,West Bengal,Kolkata,Behala,House,3,1143,52.69,4609.77,2020,Fully Furnished,2,21,4,0,4,6,1,Security Guard,"Gym, Playground, Garden, Clubhouse, Library",East,Builder,Under Construction
4367,West Bengal,Kolkata,New Town,Apartment,3,1484,82.35,5549.24,2004,Semi Furnished,17,24,20,9,0,8,3,Gated Community,"Gym, Playground, Swimming Pool, Clubhouse, Library, Garden",East,Builder,Under Construction
4368,Rajasthan,Jaipur,Malviya Nagar,Apartment,2,743,32.82,4416.56,1990,Semi Furnished,16,31,34,8,6,5,0,CCTV,"Swimming Pool, Garden, Playground, Library",North-East,Individual,Available
4369,Haryana,Gurgaon,Sector 49,Apartment,2,724,80.66,11141.07,2000,Semi Furnished,25,40,24,1,6,7,1,Security Guard,Gym,North,Builder,Under Construction
4370,Madhya Pradesh,Bhopal,Arera Colony,Studio,3,1087,59.02,5430.07,1994,Semi Furnished,21,30,30,8,,2,0,Security Guard,"Playground, Library",North-West,Individual,Available
4371,Maharashtra,Pune,Wakad,Apartment,4,1485,105.95,7134.48,2023,Semi Furnished,13,25,1,0,3,1,1,CCTV,"Garden, Library, Gym, Clubhouse",South-West,Builder,Available
4372,Gujarat,Ahmedabad,Satellite,House,2,704,21.13,3001.97,1994,Semi Furnished,28,32,30,3,6,8,1,CCTV,"Clubhouse, Gym, Library",South-East,Builder,Under Construction
4373,Tamil Nadu,Chennai,Velachery,Apartment,2,699,28.15,4026.94,2009,Fully Furnished,26,37,15,4,4,5,0,None,Playground,West,Builder,Under Construction
4374,Madhya Pradesh,Indore,Palasia,Studio,1,300,15.67,5224.03,2002,Unfurnished,10,24,22,7,2,9,1,CCTV,"Library, Gym",South,Builder,Under Construction
4375,West Bengal,Kolkata,New Town,House,4,1492,82.44,5525.18,1998,Unfurnished,20,25,26,4,7,7,3,Security Guard,Clubhouse,East,Builder,Available
4376,Kerala,Kochi,Marine Drive,Apartment,3,1142,87.37,7650.71,1994,Semi Furnished,6,14,30,0,7,4,3,None,"Swimming Pool, Garden",North,Builder,Available
4377,Madhya Pradesh,Bhopal,MP Nagar,House,2,942,34.43,3655.34,2021,Fully Furnished,18,20,3,0,3,5,0,Gated Community,"Garden, Playground, Clubhouse, Swimming Pool",South-West,Individual,Available
4378,Madhya Pradesh,Indore,Rau,Villa,2,631,17.15,2717.25,2019,Fully Furnished,3,19,5,1,7,3,0,None,Garden,South,Builder,Under Construction
4379,Maharashtra,Nagpur,Manish Nagar,Apartment,4,1502,56.36,3752.35,2017,Semi Furnished,10,19,7,8,2,5,2,Gated Community,"Library, Playground, Gym, Clubhouse",East,Builder,Available
4380,Kerala,Kochi,Marine Drive,Apartment,2,722,56.03,7760.99,2017,Unfurnished,10,11,7,0,3,4,1,Gated Community,"Swimming Pool, Gym, Clubhouse, Playground, Garden",East,Individual,Available
4381,Delhi,Delhi,Saket,Villa,3,1199,96.08,8013.67,1995,Fully Furnished,0,6,29,2,3,3,2,CCTV,"Garden, Swimming Pool, Clubhouse, Playground, Library",West,Individual,Available
4382,Gujarat,Ahmedabad,Satellite,Villa,3,1085,55.9,5151.99,2018,Semi Furnished,2,5,6,7,5,8,3,CCTV,"Garden, Gym",North-West,Agent,Under Construction
4383,West Bengal,Kolkata,Behala,House,2,1111,55.72,5015.56,1993,Semi Furnished,26,35,31,0,5,4,0,Gated Community,None,North-West,Builder,Available
4384,Punjab,Chandigarh,Sector 22,House,1,487,13.88,2851.01,2007,Fully Furnished,27,33,17,3,0,4,1,None,"Library, Clubhouse, Swimming Pool, Playground",North-West,Builder,Sold
4385,Punjab,Chandigarh,Panchkula,Villa,2,946,68.22,7211.06,2004,Semi Furnished,17,28,20,7,7,8,3,Gated Community,"Garden, Library, Swimming Pool",South-West,Individual,Available
4386,Kerala,Kochi,Marine Drive,House,4,1635,77.2,4721.96,2014,Fully Furnished,5,19,10,5,0,5,3,Security Guard,"Library, Swimming Pool, Garden, Playground, Gym, Clubhouse",South-West,Builder,Under Construction
4387,Tamil Nadu,Chennai,Porur,Villa,3,1410,87.65,6215.97,1993,Semi Furnished,22,37,31,5,2,5,1,CCTV,"Swimming Pool, Library, Gym, Garden",North,Individual,Available
4388,Gujarat,Ahmedabad,Satellite,Apartment,3,1028,41.0,3988.28,2003,Fully Furnished,1,3,21,,1,5,0,Gated Community,"Gym, Clubhouse, Library",West,Builder,Under Construction
4389,Rajasthan,Jaipur,Malviya Nagar,Studio,3,1116,56.47,5059.94,2006,Fully Furnished,15,15,18,6,5,6,0,Security Guard,None,North-East,Agent,Sold
4390,Karnataka,Bangalore,Electronic City,Apartment,4,1477,129.59,8773.95,2023,Fully Furnished,22,36,1,0,3,5,1,Security Guard,"Library, Garden",East,Individual,Under Construction
4391,Haryana,Gurgaon,Sector 56,Apartment,4,1574,204.31,12980.4,2008,Unfurnished,2,16,16,2,0,1,3,None,Library,North-East,Individual,Under Construction
4392,Maharashtra,Pune,Baner,House,3,1437,139.77,9726.32,2018,Fully Furnished,5,15,6,0,1,1,3,Security Guard,Playground,North-West,Individual,Under Construction
4393,Punjab,Chandigarh,Sector 17,Apartment,2,1129,70.33,6229.7,2011,Semi Furnished,23,24,13,7,2,6,1,CCTV,"Clubhouse, Gym",South-West,Individual,Under Construction
4394,Uttar Pradesh,Noida,Sector 78,Apartment,3,1343,86.46,6437.99,2003,Fully Furnished,,17,21,3,5,2,2,Gated Community,"Clubhouse, Library, Garden",North,Builder,Under Construction
4395,Haryana,Gurgaon,Golf Course Road,Apartment,3,1185,101.35,8552.78,1991,Fully Furnished,17,33,33,4,4,3,1,Security Guard,None,East,Builder,Sold
4396,Punjab,Chandigarh,Panchkula,Villa,3,1368,69.92,5110.97,1996,Unfurnished,8,19,28,0,5,6,0,Gated Community,"Library, Swimming Pool",East,Agent,Available
4397,Uttar Pradesh,Lucknow,Indiranagar,Penthouse,4,1822,84.05,4613.16,2017,Unfurnished,13,28,7,0,5,2,2,Security Guard,"Playground, Library, Swimming Pool",South-West,Agent,Available
4398,Uttar Pradesh,Noida,Sector 137,Villa,2,976,53.91,5523.52,1997,Fully Furnished,7,7,27,9,0,6,2,Gated Community,"Gym, Swimming Pool, Clubhouse, Playground, Library, Garden",West,Individual,Available
4399,Gujarat,Ahmedabad,Prahlad Nagar,Apartment,2,779,44.95,5770.23,2018,Semi Furnished,0,9,6,0,6,6,0,Gated Community,Gym,South-East,Agent,Sold
4400,Rajasthan,Jaipur,C-Scheme,Apartment,3,1183,65.05,5498.85,1999,Fully Furnished,25,37,25,2,3,2,1,CCTV,"Playground, Gym, Clubhouse, Swimming Pool, Library",South-West,Individual,Available
4401,West Bengal,Kolkata,New Town,Apartment,2,701,37.29,5319.21,2010,Unfurnished,16,33,14,5,6,2,1,CCTV,Gym,South-West,Builder,Available
4402,Madhya Pradesh,Bhopal,Kolar Road,Apartment,2,763,20.88,2736.9,1993,Semi Furnished,10,24,31,4,0,7,2,None,"Swimming Pool, Garden",North,Individual,Sold
4403,Madhya Pradesh,Bhopal,MP Nagar,Apartment,5,1880,70.51,3750.66,2010,Unfurnished,25,34,14,9,3,9,0,None,Gym,East,Builder,Sold
4404,Karnataka,Bangalore,HSR Layout,Apartment,3,1190,111.95,9407.24,2014,Semi Furnished,3,17,10,6,5,1,2,Security Guard,"Garden, Gym, Clubhouse",North-East,Agent,Sold
4405,Uttar Pradesh,Noida,Greater Noida West,Apartment,4,1596,79.16,4960.09,2009,Semi Furnished,7,10,15,0,5,8,3,None,Playground,East,Individual,Available
4406,Karnataka,Mysore,Saraswathipuram,Apartment,3,1070,56.99,5326.19,1996,Semi Furnished,23,27,28,7,0,4,2,Gated Community,Gym,South-West,Individual,Available
4407,Kerala,Kochi,Edapally,House,3,1602,80.68,5036.3,1996,Semi Furnished,22,28,28,4,2,6,3,CCTV,"Swimming Pool, Playground",South-West,Individual,Available
4408,Karnataka,Bangalore,Electronic City,Studio,3,1244,89.27,7175.67,2021,Semi Furnished,13,25,3,5,2,3,1,Security Guard,"Playground, Garden",South,Builder,Under Construction
4409,Punjab,Chandigarh,Panchkula,Studio,2,993,44.79,4510.49,2021,Semi Furnished,6,20,3,1,6,1,1,Gated Community,"Swimming Pool, Library, Gym, Garden, Playground, Clubhouse",West,Agent,Available
4410,Gujarat,Ahmedabad,Bopal,Villa,3,1380,51.96,3765.4,2011,Fully Furnished,26,37,13,8,7,1,0,CCTV,"Clubhouse, Gym, Library",West,Builder,Sold
4411,Karnataka,Mysore,Saraswathipuram,Apartment,2,1091,57.72,5290.91,2014,Semi Furnished,10,28,10,2,2,5,2,None,Library,North,Individual,Available
4412,Kerala,Kochi,Vyttila,House,5,1863,131.64,7065.98,1995,Fully Furnished,18,18,29,4,2,4,3,Security Guard,None,South-East,Individual,Sold
4413,Uttar Pradesh,Lucknow,Indiranagar,Apartment,2,718,21.38,2977.77,2016,Fully Furnished,1,18,8,9,2,8,0,Security Guard,"Playground, Library, Clubhouse, Swimming Pool",South-West,Agent,Available
4414,Tamil Nadu,Chennai,Velachery,Villa,2,527,27.67,5251.28,2007,Fully Furnished,3,8,17,7,3,3,3,None,Clubhouse,West,Agent,Available
4415,Haryana,Gurgaon,Sohna Road,House,3,957,115.99,12120.39,2001,Semi Furnished,11,23,23,0,6,3,0,None,"Gym, Garden, Library",West,Agent,Available
4416,Rajasthan,Jaipur,Jagatpura,House,3,1048,42.84,4087.94,2017,Semi Furnished,19,25,7,3,3,2,1,CCTV,"Swimming Pool, Gym, Clubhouse, Garden",North-East,Individual,Sold
4417,Karnataka,Mysore,Vijayanagar,Studio,1,377,16.75,4442.26,2008,Fully Furnished,22,24,16,4,7,9,2,Gated Community,"Playground, Garden, Library, Swimming Pool, Gym, Clubhouse",West,Builder,Under Construction
4418,Maharashtra,Nagpur,Dharampeth,House,2,785,28.73,3660.3,2006,Semi Furnished,25,36,18,5,4,5,2,CCTV,"Playground, Swimming Pool, Garden",South-East,Builder,Available
4419,Punjab,Chandigarh,Sector 34,Villa,3,1676,106.97,6382.39,2004,Fully Furnished,16,20,20,2,5,9,0,CCTV,"Garden, Gym, Playground, Clubhouse",South,Individual,Available
4420,Karnataka,Bangalore,Koramangala,Apartment,3,1275,87.63,6873.09,1994,Semi Furnished,10,11,30,3,2,7,0,CCTV,Swimming Pool,South-West,Individual,Available
4421,Punjab,Chandigarh,Sector 34,Studio,2,945,40.54,4290.25,2022,Semi Furnished,18,37,2,2,1,8,0,CCTV,"Garden, Library, Playground, Gym, Clubhouse",North,Individual,Available
4422,Uttar Pradesh,Lucknow,Mahanagar,Apartment,2,821,28.32,3449.75,2010,Fully Furnished,24,31,14,3,3,7,2,Gated Community,"Gym, Library",East,Agent,Available
4423,Rajasthan,Jaipur,Malviya Nagar,Studio,2,603,27.22,4513.67,2016,Semi Furnished,29,30,8,6,3,5,1,None,None,West,Agent,Available
4424,Tamil Nadu,Chennai,OMR,Apartment,2,844,45.11,5344.81,2019,Unfurnished,17,31,5,8,4,2,0,Gated Community,Swimming Pool,South-East,Builder,Under Construction
4425,Karnataka,Mysore,Nazarbad,Apartment,5,1757,86.02,4895.84,2019,Fully Furnished,19,19,5,8,3,8,0,None,Playground,South,Agent,Under Construction
4426,Delhi,Delhi,Pitampura,House,2,772,67.59,8755.05,2010,Unfurnished,17,18,14,4,0,5,2,Gated Community,None,West,Agent,Available
4427,Karnataka,Bangalore,HSR Layout,Apartment,1,497,31.24,6284.94,2015,Unfurnished,29,31,9,5,5,8,1,Security Guard,None,North-West,Individual,Under Construction
